local-authority-code,league-group,la_deprivation_score,council-quintile
ABD,Single tier,12.040376207361147,5
ABE,Single tier,15.13769666850714,5
ADU,District councils,17.643439246668013,2
AGB,Single tier,17.350429508931235,4
AGY,Single tier,22.20598960732711,3
ALL,District councils,22.837958654269098,1
AMB,District councils,17.987207433650415,2
ANS,Single tier,16.49586132706947,4
ARU,District councils,18.664629393249488,2
ASF,District councils,18.67323294266027,2
ASH,District councils,26.403706343126057,1
BAB,District councils,14.249898724412194,3
BAE,District councils,22.776074068398337,1
BAI,District councils,23.382426273644633,1
BAN,District councils,12.875384240749336,4
BAR,District councils,31.032886948351212,1
BAS,Single tier,11.738251197731815,5
BBD,Single tier,36.19481978142371,1
BDF,Single tier,18.85785826235487,4
BDG,Single tier,32.72231926765803,1
BEN,Single tier,25.64994414912166,3
BEX,Single tier,16.458360961306877,4
BGE,Single tier,25.178229360809706,3
BGW,Single tier,35.688758751713,1
BIR,Single tier,38.10821623448964,1
BLA,District councils,10.578320272639521,5
BNE,Single tier,16.202091984974825,5
BNH,Single tier,20.88944106433815,4
BNS,Single tier,30.00411464519212,1
BOL,Single tier,31.130111208485502,1
BOS,District councils,25.049174337777117,1
BOT,District councils,23.01602394083195,1
BPC,Single tier,18.245148809478632,4
BPL,Single tier,45.4870572551382,1
BRA,District councils,14.728824192026423,3
BRC,Single tier,10.330146733143476,5
BRD,Single tier,34.88322839474153,1
BRE,District councils,19.83135150891632,2
BRM,District councils,11.682779287351945,5
BRO,District councils,11.772944511136771,4
BRT,District councils,14.298875246639135,3
BRW,District councils,10.053735903195232,5
BRX,District councils,18.18090442952745,2
BRY,Single tier,14.260273503321942,5
BST,Single tier,26.38432331125628,2
BUC,Single tier,10.177566121847951,5
BUN,District councils,38.55430196806119,1
BUR,Single tier,24.021824629561763,3
CAB,District councils,14.692452715588383,3
CAM,County councils,13.87909014791817,2
CAN,District councils,20.459153966773197,2
CAR,District councils,21.83732466552569,2
CAS,District councils,16.821148114543682,3
CAT,District councils,16.837653010387317,3
CAY,Single tier,28.506884855329837,2
CBF,Single tier,12.23531766372883,5
CGN,Single tier,20.94033708273942,4
CHA,District councils,13.270781077314622,4
CHE,Single tier,14.555192822112083,5
CHI,District councils,14.051337507946066,4
CHL,District councils,12.35628684664888,4
CHO,District councils,17.007317334370985,3
CHR,District councils,14.360498202693632,3
CHS,District councils,24.96043261201145,1
CHT,District councils,14.232300594982197,3
CHW,Single tier,18.115142197970684,4
CLD,Single tier,26.492248970230047,2
CLK,Single tier,23.74116642656027,3
CMA,County councils,21.137978394518534,1
CMD,Single tier,20.026171159393996,4
CMN,Single tier,24.909375025086604,3
COL,District councils,16.686054168849456,3
CON,Single tier,23.063352023778997,3
COP,District councils,25.010328850299935,1
COT,District councils,10.973922926264716,5
COV,Single tier,26.032645643180317,2
CRA,District councils,12.749367855517836,4
CRF,Single tier,26.461858941027483,2
CRW,District councils,18.966802204449824,2
CRY,Single tier,22.67567225828142,3
CWY,Single tier,22.301965672120335,3
DAC,District councils,13.080439459043832,4
DAL,Single tier,25.716202110427613,3
DAR,District councils,19.466827966538197,2
DBY,County councils,16.381738072556182,2
DEB,District councils,11.918637372969235,4
DEN,Single tier,26.654034262567247,2
DER,Single tier,26.783834163745343,2
DEV,County councils,18.18897021472166,1
DGY,Single tier,18.971751943782497,4
DNC,Single tier,30.49772315880599,1
DND,Single tier,27.71066427298519,2
DOV,District councils,22.396161405558228,1
DST,Single tier,15.779218880446383,5
DUD,Single tier,24.40006177937537,3
DUR,Single tier,26.55317817028678,2
EAL,Single tier,22.775640901564035,3
EAS,District councils,22.144637650007223,1
EAT,District councils,10.211495111690025,5
EAY,Single tier,25.468610692867724,3
ECA,District councils,11.557074398931432,5
EDE,District councils,12.854684203330512,4
EDH,Single tier,14.740814454864985,5
EDN,District councils,16.23796685632734,3
EDU,Single tier,11.536573703262087,5
EHA,District councils,10.278269696176864,5
EHE,District councils,8.20238569463365,5
ELI,District councils,29.844699584412297,1
ELM,District councils,7.925309792024567,5
ELN,Single tier,15.870007448689842,5
ELS,Single tier,17.299781655824468,4
ENF,Single tier,25.85252469187582,2
EPP,District councils,15.119727965129963,3
EPS,District councils,8.925314063527107,5
ERE,District councils,18.918329432873065,2
ERW,Single tier,10.107730202932395,5
ERY,Single tier,15.562652490085679,5
ESK,District councils,19.65232907749106,2
ESS,County councils,17.309280024821412,1
EST,District councils,19.115321408888214,2
ESX,County councils,19.791156407868215,1
EXE,District councils,16.23229110003424,3
FAL,Single tier,19.506012312307316,4
FAR,District councils,9.041302986243148,5
FEN,District councils,25.618472380952376,1
FIF,Single tier,19.78818836267257,4
FLN,Single tier,19.272157952381853,4
FOE,District councils,18.092547372423404,2
FYL,District councils,15.85774029462738,3
GAT,Single tier,28.340326975328487,2
GED,District councils,14.918718260161489,3
GLG,Single tier,31.648102194411365,1
GLO,District councils,21.93664842636764,1
GLS,County councils,15.994691077480708,2
GOS,District councils,20.680427402814768,2
GRA,District councils,21.763743236798533,2
GRE,Single tier,24.31790858575688,3
GRT,District councils,9.44731761500154,5
GRY,District councils,33.29233555810581,1
GWN,Single tier,20.5940102958432,4
HAA,District councils,21.804497377594675,2
HAE,District councils,11.99777748542481,4
HAG,District councils,10.860670505064318,5
HAL,Single tier,32.336525368982315,1
HAM,County councils,12.75520572244617,2
HAO,District councils,8.136535844872986,5
HAR,District councils,21.32990094984323,2
HAS,District councils,34.57192434789176,1
HAT,District councils,5.618004130911789,5
HAV,Single tier,17.063034509462465,4
HCK,Single tier,32.56071419678428,1
HEF,Single tier,18.9162387332016,4
HER,District councils,13.968569553655678,4
HIG,District councils,15.622224364923492,3
HIL,Single tier,18.39799122429693,4
HIN,District councils,13.414295113845288,4
HLD,Single tier,17.857337663699248,4
HMF,Single tier,22.306929335702677,3
HNS,Single tier,21.560903319424135,3
HOR,District councils,9.939715322933978,5
HPL,Single tier,34.96067646776209,1
HRT,County councils,12.85318661167236,2
HRW,Single tier,15.122929423475082,5
HRY,Single tier,28.13070552807215,2
HUN,District councils,12.575762456240904,4
HYN,District councils,34.682468911565465,1
IOS,Single tier,12.005,5
IOW,Single tier,23.348529798054614,3
IPS,District councils,26.0718242825736,1
ISL,Single tier,27.448605092651764,2
IVC,Single tier,29.587587294654814,2
KEC,Single tier,21.229887618571833,3
KEN,County councils,14.426059486901496,2
KHL,Single tier,40.63107646144011,1
KIN,District councils,23.883172476433945,1
KIR,Single tier,25.35840253577301,3
KTT,Single tier,11.478030449503398,5
KWL,Single tier,43.165482725934936,1
LAC,District councils,24.024432983196153,1
LAN,County councils,21.94435771390498,1
LBH,Single tier,25.384398857174407,3
LCE,Single tier,30.85077790324767,1
LDS,Single tier,27.68480163502235,2
LEC,County councils,19.416645076625485,1
LEE,District councils,15.767609298136886,3
LEW,Single tier,26.743396368059315,2
LIC,District councils,26.78136226950926,1
LIF,District councils,12.620515330864102,4
LIN,County councils,19.44092148919352,1
LIV,Single tier,42.53650428678703,1
LND,Single tier,15.328364160065837,5
LUT,Single tier,26.092169648724244,2
MAI,District councils,16.69350193218721,3
MAL,District councils,14.276034547022762,3
MAN,Single tier,39.82080742975592,1
MAS,District councils,28.50884456560519,1
MAV,District councils,15.968210627970215,3
MDB,Single tier,40.38096358348702,1
MDE,District councils,16.886664637776242,3
MDW,Single tier,24.06391908269791,3
MEL,District councils,12.526185045597456,4
MEN,District councils,16.576491811362875,3
MIK,Single tier,17.96609166212049,4
MLN,Single tier,18.87225996706845,4
MOL,District councils,9.516454157831392,5
MON,Single tier,17.26099552359505,4
MRT,Single tier,14.54133978542518,5
MRY,Single tier,14.391920085507445,5
MSS,District councils,7.735725079789698,5
MSU,District councils,13.20040702632465,4
MTY,Single tier,33.32222904214466,1
NAY,Single tier,26.907236237232045,2
NBL,Single tier,22.037287147137093,3
NDE,District councils,20.403279736476396,2
NEA,District councils,19.26917575415982,2
NEC,District councils,19.121275778153755,2
NED,District councils,17.61954905284737,2
NEL,Single tier,31.342407130725817,1
NET,Single tier,29.949040297866723,1
NEW,District councils,13.026396071876768,4
NFK,County councils,21.05221602667658,1
NGM,Single tier,34.85831456293183,1
NHE,District councils,11.617651096803176,5
NKE,District councils,11.54939548389856,5
NLK,Single tier,26.274587041110216,2
NLN,Single tier,22.31556902816149,3
NNO,District councils,20.96941933668457,2
NNT,Single tier,19.619687044120514,4
NOW,District councils,27.56683175289709,1
NSM,Single tier,16.08471468296039,5
NTL,Single tier,31.386635765087817,1
NTT,County councils,19.48418261986866,1
NTY,Single tier,22.17242512012235,3
NUN,District councils,23.63120252842944,1
NWA,District councils,18.087558761338563,2
NWL,District councils,14.463790224976112,3
NWM,Single tier,29.404628489468603,2
NWP,Single tier,30.284064478868725,1
NYK,County councils,12.28742067398787,2
OAD,District councils,13.214853792861526,4
OLD,Single tier,33.837802492514015,1
ORK,Single tier,14.085283856684885,5
OXF,County councils,13.159116662917764,2
OXO,District councils,16.43546613143378,3
PEM,Single tier,23.436514362224287,3
PEN,District councils,31.17465717821782,1
PKN,Single tier,14.102364088985759,5
PLY,Single tier,26.74908324303701,2
POR,Single tier,27.274293878690575,2
POW,Single tier,19.609055616431394,4
PRE,District councils,29.614644727005984,1
PTE,Single tier,27.88069812468172,2
RCC,Single tier,29.791865154939835,2
RCH,Single tier,34.75680797349064,1
RCT,Single tier,30.521077598991763,1
RDB,Single tier,17.327725432635923,4
RDG,Single tier,19.743397416244292,4
RED,District councils,22.542838026764873,1
REI,District councils,11.256638986742676,5
RFW,Single tier,22.086375851520135,3
RIB,District councils,10.59807881684404,5
RIC,Single tier,9.421518096748294,5
RIH,District councils,12.108709622185001,4
ROC,District councils,10.491386606080031,5
ROH,District councils,19.804242412572858,2
ROS,District councils,23.96728179122017,1
ROT,Single tier,29.741272256990115,2
RUG,District councils,14.127847716528207,4
RUH,District councils,16.000946151650652,3
RUN,District councils,11.951561996779388,4
RUS,District councils,7.20371579238824,5
RUT,Single tier,8.853493225135875,5
RYE,District councils,15.731866052726616,3
SAL,District councils,8.333441785897126,5
SAW,Single tier,35.1011244420764,1
SAY,Single tier,20.607720535260572,4
SCA,District councils,8.49453021636096,5
SCB,Single tier,16.001783137460148,5
SCE,District councils,26.360596540912322,1
SDE,District councils,14.22996728540662,3
SEG,District councils,21.39409499261231,2
SEL,District councils,12.8220422644008,4
SEV,District councils,12.399868215320911,4
SFK,County councils,18.19023282634615,1
SFT,Single tier,27.257467483086735,2
SGC,Single tier,11.674253573395344,5
SHA,District councils,13.78448118477312,4
SHE,District councils,24.007313736769433,1
SHF,Single tier,27.29229006776061,2
SHN,Single tier,31.78825867596977,1
SHO,District councils,17.810919731843104,2
SHR,Single tier,17.10501329471182,4
SKE,District councils,13.39512931809245,4
SKP,Single tier,21.091802701219745,3
SLA,District councils,12.490680848431795,4
SLF,Single tier,34.33304038495719,1
SLG,Single tier,22.9328652458556,3
SLK,Single tier,20.958878876540894,3
SND,Single tier,30.691123656397966,1
SNO,District councils,13.13699841709256,4
SOL,Single tier,17.46025083420373,4
SOM,County councils,18.36161709366019,1
SOS,Single tier,22.6453823453925,3
SOX,District councils,8.45337051324468,5
SPE,District councils,14.995468100236371,3
SRI,District councils,15.383548245297327,3
SRY,County councils,10.343215674748444,2
SSO,District councils,17.368434720365926,2
SST,District councils,13.352700727524985,4
STA,District councils,13.75422228292541,4
STE,Single tier,34.85016334275965,1
STF,District councils,15.053088027632441,3
STG,Single tier,15.683261274448258,5
STH,Single tier,26.882578120544906,2
STN,Single tier,14.07958985989755,5
STO,District councils,10.83640144543363,5
STR,District councils,11.726253854786389,4
STS,County councils,16.41937945721841,2
STT,Single tier,25.836416178527255,2
STV,District councils,19.857026501223746,2
STY,Single tier,31.715865058022455,1
SUR,District councils,8.153045697329375,5
SWA,Single tier,25.699641825300358,3
SWD,Single tier,18.612303996975594,4
SWK,Single tier,25.7353338236678,3
SWL,District councils,27.5989311243187,1
SWT,District councils,19.150645011765466,2
TAM,Single tier,31.66438354827744,1
TAN,District councils,11.926536429552135,4
TAW,District councils,21.006838466152082,2
TEI,District councils,15.981603258722595,3
TEN,District councils,30.496125845211186,1
TES,District councils,12.216568825301202,4
TEW,District councils,12.187032204085503,4
TFW,Single tier,25.003029585107925,3
THA,District councils,31.44299463085357,1
THE,District councils,9.92761804699806,5
THR,Single tier,21.129832036067253,3
TOB,Single tier,28.216444159866153,2
TOF,Single tier,27.446011138320134,2
TON,District councils,13.53495895666387,4
TOR,District councils,23.23329084330643,1
TRF,Single tier,16.14333361982523,5
TUN,District councils,11.320222313938206,5
TWH,Single tier,27.521556559762267,2
UTT,District councils,9.216569081109506,5
VAL,District councils,8.364813730175651,5
VGL,Single tier,18.67926521213294,4
WAE,District councils,7.510415956874173,5
WAR,County councils,12.860229108844827,2
WAT,District councils,15.490773579630762,3
WAW,District councils,11.990352020479568,4
WBK,Single tier,10.021977734301045,5
WDE,District councils,18.216201914115707,2
WDU,Single tier,28.878325797253176,2
WEA,District councils,12.362661037312279,4
WEW,District councils,14.314115081719395,3
WFT,Single tier,25.230597303805656,3
WGN,Single tier,25.92256949388732,2
WIL,Single tier,13.427684331152093,5
WIN,District councils,9.654869893239578,5
WKF,Single tier,27.36930997209398,2
WLA,District councils,18.646326509544554,2
WLI,District councils,20.508733680370447,2
WLL,Single tier,32.175975336102965,1
WLN,Single tier,19.42218209299943,4
WLV,Single tier,32.534546645807765,1
WND,Single tier,16.635101126253875,4
WNM,Single tier,8.423452477182972,5
WNT,Single tier,17.60152903098383,4
WOC,District councils,20.55670791922704,2
WOI,District councils,10.854296121754489,5
WOK,Single tier,5.83357479882421,5
WOR,County councils,18.05782964366818,1
WOT,District councils,17.310814425250975,3
WOX,District councils,8.736159973970338,5
WRL,Single tier,29.79318516963931,2
WRT,Single tier,19.102023684135347,4
WRX,Single tier,23.452547124825102,3
WSK,District councils,16.214400346281668,3
WSM,Single tier,19.99017473413517,4
WSX,County councils,14.18833713527553,2
WYC,District councils,15.846520663200263,3
WYE,District councils,22.784010227957065,1
WYR,District councils,20.76716669491751,2
YOR,Single tier,11.81076590319916,5
ZET,Single tier,13.89227279320911,5
