id,name,"model (C=county, D=district, 1=all-up, 3=thirds, etc.)","type (LC=leader&cabinet, etc.)",total,majority,coalition,con,lab,ld,grn,ukip,pc,snp,dup,sf,uup,sdlp,ali,tuv,pup,ind,vacant,boundary,"ons code","start of records (or creation of council)","end of records (or abolition of council)",url,"last update"
406,"City of London",,,125,IND,IND,0,5,0,0,0,0,0,0,0,0,0,0,0,0,120,0,,E09000001,2016,2030,http://democracy.cityoflondon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2020-03-01
405,"Isles of Scilly",,,16,IND,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,,E06000053,2016,2030,http://committees.scilly.gov.uk/mgMemberIndex.aspx?bcr=1,2021-06-12
1,"Buckinghamshire CC",C1,LC,0,CON,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merged into Bucks UA in 2020.",,2016,2019,https://democracy.buckscc.gov.uk/mgMemberIndex.aspx?FN=GROUPING&VW=TABLE&PIC=1,2020-03-01
2,Cambridgeshire,C1,LC,61,NOC,LD/LAB/IND,28,9,20,0,0,0,0,0,0,0,0,0,0,0,4,0,,,2016,2030,https://cambridgeshire.cmis.uk.com/ccc_live/Councillors.aspx,2021-06-04
3,Cumbria,C1,LC,84,NOC,LAB/LD,38,26,16,1,0,0,0,0,0,0,0,0,0,0,3,0,"Elections to E&W Cumbria in 2022, CC to be abolished in 2023.",,2016,2023,http://councilportal.cumbria.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-09-01
4,Derbyshire,C1,LC,64,CON,CON,45,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,,2016,2030,http://www.derbyshire.gov.uk/council/councillors/,2021-04-26
5,Devon,C1,LC,60,CON,CON,39,7,9,2,0,0,0,0,0,0,0,0,0,0,3,0,,,2016,2030,http://democracy.devon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
7,"East Sussex",C1,LC,50,CON,CON,27,5,11,4,0,0,0,0,0,0,0,0,0,0,3,0,,,2016,2030,https://democracy.eastsussex.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
8,Essex,C1,LC,75,CON,CON,52,5,8,1,0,0,0,0,0,0,0,0,0,0,9,0,,,2016,2030,https://cmis.essex.gov.uk/essexcmis5/Councillors.aspx,2021-04-01
9,Gloucestershire,C1,LC,53,CON,CON,28,5,16,4,0,0,0,0,0,0,0,0,0,0,0,0,,,2016,2030,http://glostext.gloucestershire.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,2021-04-01
10,Hampshire,C1,LC,78,CON,CON,56,3,17,0,0,0,0,0,0,0,0,0,0,0,2,0,,,2016,2030,http://democracy.hants.gov.uk/mgMemberIndex.aspx?bcr=1,2021-04-02
11,Hertfordshire,C1,LC,78,CON,CON,46,7,23,1,0,0,0,0,0,0,0,0,0,0,1,0,,,2016,2030,https://democracy.hertfordshire.gov.uk/mgMemberIndex.aspx?bcr=1,2021-04-01
12,Kent,C1,LC,81,CON,CON,61,7,6,4,0,0,0,0,0,0,0,0,0,0,2,1,,,2016,2030,https://democracy.kent.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,2021-10-21
13,Lancashire,C1,LC,84,CON,CON,48,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,2016,2030,http://council.lancashire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=TABLE&PIC=1,2021-04-01
14,Leicestershire,C1,LC,55,CON,CON,42,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2016,2030,http://politics.leics.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-02
15,Lincolnshire,C1,LC,70,CON,CON,54,4,3,0,0,0,0,0,0,0,0,0,0,0,9,0,,,2016,2030,http://lincolnshire.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
16,Norfolk,C1,LC,84,CON,CON,57,12,9,3,0,0,0,0,0,0,0,0,0,0,3,0,,,2016,2030,http://norfolkcc.cmis.uk.com/norfolkcc/Councillors/tabid/63/ScreenMode/Alphabetical/Default.aspx,2021-07-30
17,"North Yorkshire",C1,LC,72,CON,CON,52,4,4,0,0,0,0,0,0,0,0,0,0,0,12,0,"Elections to new unitary in 2022, CC to be abolished in 2023.",,2016,2023,https://edemocracy.northyorks.gov.uk/mgMemberIndex.aspx?bcr=1,2021-04-01
18,Northamptonshire,C1,LC,0,CON,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merged into West Northants UA in 2021.",,2016,2020,https://cmis.northamptonshire.gov.uk/cmis5live/Councillors/tabid/62/ScreenMode/Alphabetical/Default.aspx,2021-04-01
19,Nottinghamshire,C1,LC,66,CON,CON,36,15,1,0,0,0,0,0,0,0,0,0,0,0,14,0,,,2016,2030,http://www.nottinghamshire.gov.uk/council-and-democracy/councillors/contact-a-councillor,2021-10-31
20,Oxfordshire,C1,LC,63,NOC,LD/LAB/GRN,21,16,21,3,0,0,0,0,0,0,0,0,0,0,2,0,,,2016,2030,http://mycouncil.oxfordshire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=TABLE&PIC=1,2021-08-19
21,Somerset,C1,LC,55,CON,CON,33,3,14,2,0,0,0,0,0,0,0,0,0,0,3,0,"Elections to new unitary in 2022, CC to be abolished in 2023.",,2016,2023,https://democracy.somerset.gov.uk/mgMemberIndex.aspx,2021-10-17
22,Staffordshire,C1,LC,62,CON,CON,57,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2016,2030,http://moderngov.staffordshire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
23,Suffolk,C1,LC,75,CON,CON,55,5,4,9,0,0,0,0,0,0,0,0,0,0,2,0,,,2016,2030,http://www.suffolk.gov.uk/council-and-democracy/councillors-and-elected-representatives/find-your-councillor/?ward=&party=&name=&action=SEARCH,2021-04-01
24,Surrey,C1,LC,81,CON,CON,47,2,14,2,0,0,0,0,0,0,0,0,0,0,16,0,,,2016,2030,http://mycouncil.surreycc.gov.uk/mgMemberIndex.aspx?VW=TABLE&PIC1=&FN=,2021-02-16
25,Warwickshire,C1,LC,57,CON,CON,42,6,5,3,0,0,0,0,0,0,0,0,0,0,1,0,,,2016,2030,https://democracy.warwickshire.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=TABLE&PIC=1,2021-08-01
26,"West Sussex",C1,LC,70,CON,CON,47,9,11,1,0,0,0,0,0,0,0,0,0,0,2,0,,,2016,2030,https://www.westsussex.gov.uk/location-directories/find-your-councillor/?Keyword=&Location=&politicalParty=,2021-11-14
27,Worcestershire,C1,LC,57,CON,CON,45,3,4,3,0,0,0,0,0,0,0,0,0,0,2,0,,,2016,2030,http://worcestershire.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-08-01
28,Allerdale,D1,LC,49,NOC,IND/CON,18,13,0,0,0,0,0,0,0,0,0,0,0,0,17,1,"New W Cumbria unitary elections in 2022, Allerdale to be abolished 2023.",E07000026,2016,2023,http://democracy.allerdale.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-10-24
29,Arun,D1,LC,54,NOC,"CON min",24,1,16,2,0,0,0,0,0,0,0,0,0,0,11,0,,E07000224,2016,2030,https://democracy.arun.gov.uk/mgMemberIndex.aspx?bcr=1,2021-08-01
30,Ashfield,D1,LC,35,IND,IND,3,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,,E07000170,2016,2030,https://democracy.ashfield-dc.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-08-03
31,Ashford,D1,LC,47,CON,CON,25,6,0,3,0,0,0,0,0,0,0,0,0,0,13,0,,E07000105,2016,2030,http://ashford.moderngov.co.uk/mgFindMember.aspx?XXR=0&AC=USERSEARCH&sPC=Enter%20postcode,2021-09-01
32,"Aylesbury Vale",D1,LC,0,CON,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merged into Bucks UA in 2020.",E07000004,2016,2019,http://www.aylesburyvaledc.gov.uk/councillors/?scmOverrideRecord=21R0112Cmk,2020-03-01
33,Babergh,D1,AA,32,NOC,CON/IND/LD,14,1,3,4,0,0,0,0,0,0,0,0,0,0,10,0,,E07000200,2016,2030,http://baberghmidsuffolk.moderngov.co.uk/mgMemberIndexGroup.aspx?bcr=1&g=bdcc&m=bdccw,2021-06-11
34,Barrow-in-Furness,D1,LC,36,LAB,LAB,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New E Cumbria unitary elections in 2022, Barrow to be abolished 2023.",E07000027,2016,2023,https://democracy.barrowbc.gov.uk/mgMemberIndex.aspx?bcr=1,2021-08-01
35,Bassetlaw,D1,LC,48,LAB,LAB,8,35,1,0,0,0,0,0,0,0,0,0,0,0,4,0,,E07000171,2016,2030,https://www.bassetlaw.gov.uk/council-and-democracy/local-councillors/your-local-councillor/,2021-08-01
36,Blaby,D1,LC,39,CON,CON,25,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,,E07000129,2016,2030,https://w3.blaby.gov.uk/decision-making/mgMemberIndex.aspx?bcr=1,2021-06-11
37,Bolsover,D1,LC,37,NOC,"LAB min",3,19,0,0,0,0,0,0,0,0,0,0,0,0,15,0,,E07000033,2016,2030,https://committees.bolsover.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,2021-06-11
38,Boston,D1,LC,30,NOC,"CON min",14,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,,E07000136,2016,2030,http://moderngov.boston.gov.uk/mgMemberIndex.aspx?FN=GROUPING&VW=LIST&PIC=0,2021-08-01
39,Braintree,D1,LC,49,CON,CON,34,2,0,7,0,0,0,0,0,0,0,0,0,0,6,0,,E07000067,2016,2030,http://braintree.cmis.uk.com/braintree/Councillors.aspx,2021-06-11
40,Breckland,D1,LC,49,CON,CON,35,6,0,2,0,0,0,0,0,0,0,0,0,0,5,1,,E07000143,2016,2030,http://democracy.breckland.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-11-01
41,Broadland,D1,LC,47,CON,CON,31,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,,E07000144,2016,2030,https://www.broadland.gov.uk/councillors/name,2021-10-01
42,Bromsgrove,D1,LC,31,CON,CON,18,3,3,0,0,0,0,0,0,0,0,0,0,0,7,0,,E07000234,2016,2030,http://moderngovwebpublic.bromsgrove.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-01-25
43,Broxtowe,D1,CO,44,NOC,LAB/LD/IND,20,14,7,0,0,0,0,0,0,0,0,0,0,0,3,0,,E07000172,2016,2030,https://democracy.broxtowe.gov.uk/mgMemberIndex.aspx?bcr=1,2021-08-01
176,Cambridge,D1,LC,42,LAB,LAB,0,27,12,2,0,0,0,0,0,0,0,0,0,0,1,0,"Boundary changes 2020. One-off all-up.",E07000008,2016,2030,http://democracy.cambridge.gov.uk/mgMemberIndex.aspx?bcr=1,2021-04-01
44,Canterbury,D1,CO,39,CON,CON,23,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,,E07000106,2016,2030,http://democracy.canterbury.gov.uk/mgMemberIndex.aspx?bcr=1,2021-11-02
45,Charnwood,D1,LC,52,CON,CON,37,11,0,1,0,0,0,0,0,0,0,0,0,0,2,1,,E07000130,2016,2030,https://charnwood.moderngov.co.uk/mgMemberIndex.aspx?bcr=1,2021-10-21
46,Chelmsford,D1,LC,57,LD,LD,22,0,30,0,0,0,0,0,0,0,0,0,0,0,5,0,,E07000070,2016,2030,https://www.chelmsford.gov.uk/your-council/councillors-and-decision-making/councillors/find-a-councillor/view-chelmsford-city-councillors/?cord=DESC&cid=50eeb79d-c47e-472c-a05d-49a3d5c8792b&p=1,2021-07-06
47,Chesterfield,D1,LC,48,LAB,LAB,0,28,17,0,0,0,0,0,0,0,0,0,0,0,3,0,,E07000034,2016,2030,http://chesterfield.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-08-01
48,Chichester,D1,LC,36,NOC,"CON min",17,1,11,2,0,0,0,0,0,0,0,0,0,0,5,0,,E07000225,2016,2030,http://chichester.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-06-25
49,Chiltern,D1,LC,0,CON,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merged into Bucks UA in 2020.",E07000005,2016,2019,https://isa.chiltern.gov.uk/democracy/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2020-05-24
181,Chorley,D1,LC,42,LAB,LAB,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Boundary changes 2020. One-off all-up.",E07000118,2016,2030,https://democracy.chorley.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
51,Copeland,D1,MC,33,LAB,"IND Mayor",11,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,"New W Cumbria unitary elections in 2022, Copeland to be abolished 2023.",E07000029,2016,2023,http://copeland.moderngov.co.uk/mgMemberIndex.aspx?VW=TABLE&PIC=1&FN=PARTY,2021-06-11
52,Corby,D1,AA,0,LAB,LAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merged into North Northants UA in 2021.",E07000150,2016,2020,http://www.corby.gov.uk/home/council/council-democracy/councillors-information-advice/councillors,2021-04-01
53,Cotswold,D1,LC,34,LD,LD,14,0,18,1,0,0,0,0,0,0,0,0,0,0,1,0,,E07000079,2016,2030,https://meetings.cotswold.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,2021-06-11
54,Dacorum,D1,LC,51,CON,CON,31,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,,E07000096,2016,2030,https://democracy.dacorum.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-06-11
55,Dartford,D1,LC,42,CON,CON,28,9,0,0,0,0,0,0,0,0,0,0,0,0,4,1,,E07000107,2016,2030,http://committeedmz.dartford.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0&J=1,2021-10-21
56,"Derbyshire Dales",D1,AA,39,CON,CON,20,4,7,2,0,0,0,0,0,0,0,0,0,0,6,0,,E07000035,2016,2030,https://www.derbyshiredales.gov.uk/your-council/councillors/848-councillors-by-ward,2021-06-11
57,Dover,D1,LC,32,CON,CON,20,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,E07000108,2016,2030,http://moderngov.dover.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-09-01
58,"East Cambridgeshire",D1,AA,28,CON,CON,16,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,,E07000009,2016,2030,http://www.eastcambs.gov.uk/council-and-democracy/search-for-councillors,2021-10-01
59,"East Devon",D1,LC,60,NOC,IND/LD/GRN,22,2,7,2,0,0,0,0,0,0,0,0,0,0,27,0,,E07000040,2016,2030,https://democracy.eastdevon.gov.uk//mgMemberIndex.aspx?FN=ALPHA&VW=LIST&PIC=0,2021-10-01
61,"East Hampshire",D1,LC,43,CON,CON,31,0,8,1,0,0,0,0,0,0,0,0,0,0,3,0,,E07000085,2016,2030,http://easthants.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-10-14
62,"East Hertfordshire",D1,LC,50,CON,CON,40,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,,E07000242,2016,2030,http://democracy.eastherts.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-06-11
63,"East Lindsey",D1,LC,55,CON,CON,30,6,1,0,0,0,0,0,0,0,0,0,0,0,18,0,,E07000137,2016,2030,https://democracy.e-lindsey.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-06-11
64,"East Northamptonshire",D1,AA,0,CON,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merged into North Northants UA in 2021.",E07000152,2016,2020,http://www.east-northamptonshire.gov.uk/councillors/name,2021-04-01
65,"East Staffordshire",D1,LC,39,CON,CON,24,11,1,0,0,0,0,0,0,0,0,0,0,0,3,0,,E07000193,2016,2030,http://www.eaststaffsbc.gov.uk/council-democracy/councillors,2021-10-01
412,"East Suffolk",D1,,55,CON,CON,39,7,3,5,0,0,0,0,0,0,0,0,0,0,1,0,,,2019,2030,https://eastsuffolk.cmis.uk.com/eastsuffolk/councillors.aspx,2021-08-19
66,Eastbourne,D1,LC,27,LD,LD,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,E07000061,2016,2030,https://democracy.lewes-eastbourne.gov.uk/mgMemberIndexGroup.aspx?bcr=1&g=EastbourneCllrs&m=EastbourneCllrs,2021-06-11
68,Eden,D1,LC,38,NOC,LD/IND,13,2,12,2,0,0,0,0,0,0,0,0,0,0,9,0,"New E Cumbria unitary elections in 2022, Eden to be abolished 2023.",E07000030,2016,2030,https://democracy.eden.gov.uk/mgMemberIndex.aspx?bcr=1,2021-10-01
69,"Epsom and Ewell",D1,AA,38,IND,IND,1,3,2,0,0,0,0,0,0,0,0,0,0,0,32,0,,E07000208,2016,2030,https://democracy.epsom-ewell.gov.uk/mgMemberIndex.aspx?bcr=1,2021-10-01
70,Erewash,D1,LC,47,CON,CON,28,16,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,E07000036,2016,2030,http://moderngov.erewash.gov.uk/mgMemberIndex.aspx?bcr=1,2021-06-11
71,Fenland,D1,LC,39,CON,CON,27,0,2,1,0,0,0,0,0,0,0,0,0,0,9,0,,E07000010,2016,2030,https://www.fenland.gov.uk/localgov/mgMemberIndex.aspx?bcr=1,2021-06-11
123,"Folkestone and Hythe",D1,LC,30,NOC,CON/GRN/LD/IND,13,5,2,6,2,0,0,0,0,0,0,0,0,0,2,0,,E07000112,2016,2030,http://www.folkestone-hythe.gov.uk/moderngov/mgMemberIndex.aspx?bcr=1,2021-04-01
73,"Forest of Dean",D1,LC,38,NOC,IND/GRN/LAB,8,3,2,7,0,0,0,0,0,0,0,0,0,0,18,0,,E07000080,2016,2030,http://meetings.fdean.gov.uk/mgMemberIndex.aspx?bcr=1,2021-06-11
74,Fylde,D1,LC,51,CON,CON,31,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,,E07000119,2016,2030,https://fylde.cmis.uk.com/fylde/CouncillorsandMP.aspx,2021-02-18
75,Gedling,D1,LC,41,LAB,LAB,8,29,2,0,0,0,0,0,0,0,0,0,0,0,2,0,,E07000173,2016,2030,https://democracy.gedling.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
76,Gloucester,D1,LC,39,CON,CON,25,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,E07000081,2016,2030,http://democracy.gloucester.gov.uk/mgFindMember.aspx?XXR=0&AC=USERSEARCH,2021-11-14
77,Gravesham,D1,LC,44,LAB,"LAB min",20,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,E07000109,2016,2030,https://democracy.gravesham.gov.uk/mgMemberIndex.aspx?VW=TABLE&PIC=1&FN=PARTY,2021-06-11
190,"Great Yarmouth",D1,LC,39,CON,CON,21,14,0,0,1,0,0,0,0,0,0,0,0,0,3,0,,E07000145,2016,2030,https://great-yarmouth.cmis.uk.com/great-yarmouth/Councillors/tabid/63/ScreenMode/Alphabetical/Default.aspx,2021-08-19
78,Guildford,D1,LC,48,NOC,IND/LD,10,2,16,0,0,0,0,0,0,0,0,0,0,0,20,0,,E07000209,2016,2030,http://www2.guildford.gov.uk/councilmeetings/mgMemberIndex.aspx?bcr=1,2021-11-14
79,Hambleton,D1,LC,28,CON,CON,23,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,,E07000164,2016,2030,http://democracy.hambleton.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-11-01
80,Harborough,D1,LC,34,CON,CON,22,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,E07000131,2016,2030,https://cmis.harborough.gov.uk/cmis5/Councillors.aspx,2021-06-11
81,Harrogate,D1,LC,40,CON,CON,30,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,"New N Yorkshire unitary elections in 2022, Harrogate to be abolished 2023.",E07000165,2016,2023,https://democracy.harrogate.gov.uk/mgMemberIndex.aspx?bcr=1,2021-07-30
83,Hertsmere,D1,LC,39,CON,CON,29,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,E07000098,2016,2030,https://hertsmere.moderngov.co.uk/mgMemberIndex.aspx,2021-06-11
84,"High Peak",D1,LC,43,LAB,LAB,16,22,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,E07000037,2016,2030,https://democracy.highpeak.gov.uk/mgMemberIndexGroup.aspx?g=HPCLLRS&m=hpcllrs,2020-03-01
85,"Hinckley and Bosworth",D1,LC,34,LD,LD,10,2,21,0,0,0,0,0,0,0,0,0,0,0,1,0,,E07000132,2016,2030,http://moderngov.hinckley-bosworth.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-03-07
86,Horsham,D1,LC,48,CON,CON,31,0,13,2,0,0,0,0,0,0,0,0,0,0,1,1,,E07000227,2016,2030,http://horsham.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-10-24
87,Huntingdonshire,D1,LC,52,CON,CON,30,3,7,0,0,0,0,0,0,0,0,0,0,0,12,0,,E07000011,2016,2030,http://applications.huntingdonshire.gov.uk/moderngov/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-11-14
88,Kettering,D1,LC,0,CON,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merged into North Northants UA in 2021.",E07000153,2016,2020,http://www.kettering.gov.uk/councillors/name,2021-02-18
89,"King's Lynn and West Norfolk",D1,LC,55,CON,CON,29,8,1,1,0,0,0,0,0,0,0,0,0,0,16,0,,E07000146,2016,2030,http://democracy.west-norfolk.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-09-19
90,Lancaster,D1,LC,60,NOC,"GRN min",11,15,2,10,0,0,0,0,0,0,0,0,0,0,19,3,,E07000121,2016,2030,http://committeeadmin.lancaster.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-11-14
91,Lewes,D1,LC,41,NOC,LD/GRN/LAB/IND,19,3,9,8,0,0,0,0,0,0,0,0,0,0,2,0,,E07000063,2016,2030,https://democracy.lewes-eastbourne.gov.uk/mgMemberIndexGroup.aspx?bcr=1&g=LewesCllrs&m=LewesCllrs,2021-06-11
92,Lichfield,D1,LC,47,CON,CON,35,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,E07000194,2016,2030,https://democracy.lichfielddc.gov.uk/mgMemberIndex.aspx?bcr=1,2021-06-11
93,Maldon,D1,LC,31,IND,IND,15,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,,E07000074,2016,2030,https://democracy.maldon.gov.uk/mgFindMember.aspx?XXR=0&AC=USERSEARCH&sPC=Enter%20postcode,2021-06-11
94,"Malvern Hills",D1,LC,38,NOC,IND/LD/GRN,12,1,4,5,0,0,0,0,0,0,0,0,0,0,16,0,,E07000235,2016,2030,http://moderngov.malvernhills.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0&J=3,2021-09-19
95,Mansfield,D1,MC,36,NOC,"LAB Mayor",1,15,0,0,0,0,0,0,0,0,0,0,0,0,20,0,,E07000174,2016,2030,https://portal.mansfield.gov.uk/cmadexternal/councillorslist.aspx,2021-06-11
96,Melton,D1,AA,28,CON,CON,20,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,,E07000133,2016,2030,https://democracy.melton.gov.uk/mgMemberIndex.aspx?bcr=1,2021-11-14
